序号,股票代码,股票名称,所属行业
1,600519,贵州茅台,白酒
2,601398,工商银行,国有大型银行
3,601939,建设银行,国有大型银行
4,600941,中国移动,电信运营商
5,300750,宁德时代,锂电池
6,601288,农业银行,国有大型银行
7,002594,比亚迪,电动乘用车
8,601857,中国石油,炼油化工
9,601988,中国银行,国有大型银行
10,600036,招商银行,股份制银行
11,601318,中国平安,保险
12,601628,中国人寿,保险
13,000858,五粮液,白酒
14,600900,长江电力,水力发电
15,601088,中国神华,动力煤
16,600028,中国石化,炼油化工
17,601012,隆基绿能,光伏电池组件
18,601658,邮储银行,国有大型银行
19,601888,中国中免,旅游零售
20,603288,海天味业,调味发酵品
21,000333,美的集团,空调
22,601166,兴业银行,股份制银行
23,300760,迈瑞医疗,医疗设备
24,688981,中芯国际,集成电路制造
25,601328,交通银行,国有大型银行
26,601728,中国电信,电信运营商
27,600809,山西汾酒,白酒
28,000568,泸州老窖,白酒
29,002714,牧原股份,生猪养殖
30,002415,海康威视,安防设备
31,601633,长城汽车,综合乘用车
32,300059,东方财富,证券
33,600030,中信证券,证券
34,603259,药明康德,医疗研发外包
35,300999,金龙鱼,粮油加工
36,600309,万华化学,聚氨酯
37,002304,洋河股份,白酒
38,002475,立讯精密,消费电子零部件及组装
39,600276,恒瑞医药,化学制剂
40,002352,顺丰控股,快递
41,000001,平安银行,股份制银行
42,600887,伊利股份,乳品
43,601899,紫金矿业,铜
44,600438,通威股份,硅料硅片
45,601816,京沪高铁,铁路运输
46,600690,海尔智家,冰洗
47,300015,爱尔眼科,医院
48,601919,中远海控,航运
49,601998,中信银行,股份制银行
50,600000,浦发银行,股份制银行
51,601668,中国建筑,房屋建设
52,601995,中金公司,证券
53,601319,中国人保,保险
54,601066,中信建投,证券
55,002142,宁波银行,城商行
56,600406,国电南瑞,电网自动化设备
57,002812,恩捷股份,电池化学品
58,002466,天齐锂业,锂
59,000002,万科A,住宅开发
60,601138,工业富联,消费电子零部件及组装
61,601601,中国太保,保险
62,600104,上汽集团,综合乘用车
63,600048,保利发展,住宅开发
64,300014,亿纬锂能,锂电池
65,002460,赣锋锂业,锂
66,600436,片仔癀,中药
67,601225,陕西煤业,动力煤
68,600188,兖矿能源,动力煤
69,000625,长安汽车,综合乘用车
70,000651,格力电器,空调
71,600905,三峡能源,风力发电
72,300274,阳光电源,逆变器
73,688599,天合光能,光伏电池组件
74,002459,晶澳科技,光伏电池组件
75,600585,海螺水泥,水泥制造
76,300124,汇川技术,工控设备
77,002371,北方华创,半导体设备
78,001289,龙源电力,风力发电
79,002129,TCL中环,硅料硅片
80,600016,民生银行,股份制银行
81,300122,智飞生物,疫苗
82,601238,广汽集团,综合乘用车
83,000792,盐湖股份,钾肥
84,601818,光大银行,股份制银行
85,300498,温氏股份,生猪养殖
86,002493,荣盛石化,炼油化工
87,000725,京东方A,面板
88,601766,中国中车,轨交设备
89,600600,青岛啤酒,啤酒
90,600031,三一重工,工程机械整机
91,600346,恒力石化,炼油化工
92,601111,中国国航,航空运输
93,603501,韦尔股份,数字芯片设计
94,601390,中国中铁,基建市政工程
95,600893,航发动力,航空装备
96,003816,中国广核,核力发电
97,603799,华友钴业,钴
98,000596,古井贡酒,白酒
99,600009,上海机场,机场
100,002049,紫光国微,数字芯片设计
101,000301,东方盛虹,炼油化工
102,600025,华能水电,水力发电
103,601211,国泰君安,证券
104,601800,中国交建,基建市政工程
105,300896,爱美客,医美耗材
106,600018,上港集团,港口
107,603392,万泰生物,疫苗
108,600760,中航沈飞,航空装备
109,600837,海通证券,证券
110,600999,招商证券,证券
111,603260,合盛硅业,有机硅
112,000063,中兴通讯,通信网络设备及器件
113,600111,北方稀土,稀土
114,000776,广发证券,证券
115,600019,宝钢股份,板材
116,601688,华泰证券,证券
117,600196,复星医药,化学制剂
118,601985,中国核电,核力发电
119,603993,洛阳钼业,钼
120,002241,歌尔股份,消费电子零部件及组装
121,601898,中煤能源,动力煤
122,601009,南京银行,城商行
123,600029,南方航空,航空运输
124,601669,中国电建,基建市政工程
125,600050,中国联通,电信运营商
126,600919,江苏银行,城商行
127,000338,潍柴动力,底盘与发动机系统
128,002920,德赛西威,垂直应用软件
129,600660,福耀玻璃,车身附件及饰件
130,600011,华能国际,火力发电
131,603659,璞泰来,电池化学品
132,002709,天赐材料,电池化学品
133,002311,海大集团,水产饲料
134,000166,申万宏源,证券
135,600150,中国船舶,航海装备
136,001979,招商蛇口,商业地产
137,600989,宝丰能源,煤化工
138,002050,三花智控,家电零部件
139,601186,中国铁建,基建市政工程
140,002179,中航光电,军工电子
141,000708,中信特钢,特钢
142,002230,科大讯飞,横向通用软件
143,000538,云南白药,中药
144,600010,包钢股份,板材
145,002271,东方雨虹,防水材料
146,600745,闻泰科技,消费电子零部件及组装
147,000877,天山股份,水泥制造
148,300759,康龙化成,医疗研发外包
149,000661,长春高新,其他生物制品
150,300316,晶盛机电,光伏加工设备
151,601868,中国能建,基建市政工程
152,688111,金山办公,横向通用软件
153,300347,泰格医药,医疗研发外包
154,000895,双汇发展,肉制品
155,600089,特变电工,输变电设备
156,688012,中微公司,半导体设备
157,601006,大秦铁路,铁路运输
158,601336,新华保险,保险
159,300450,先导智能,锂电专用设备
160,600115,中国东航,航空运输
161,603806,福斯特,光伏辅材
162,300763,锦浪科技,逆变器
163,601881,中国银河,证券
164,601169,北京银行,城商行
165,002736,国信证券,证券
166,603195,公牛集团,其他家居用品
167,603986,兆易创新,数字芯片设计
168,601989,中国重工,航海装备
169,000768,中航西飞,航空装备
170,002027,分众传媒,广告媒体
171,601865,福莱特,光伏辅材
172,601229,上海银行,城商行
173,600547,山东黄金,黄金
174,600845,宝信软件,IT服务
175,600926,杭州银行,城商行
176,300957,贝泰妮,品牌化妆品
177,000963,华东医药,化学制剂
178,300751,迈为股份,光伏加工设备
179,600015,华夏银行,股份制银行
180,002938,鹏鼎控股,印制电路板
181,601600,中国铝业,铝
182,600886,国投电力,水力发电
183,600588,用友网络,横向通用软件
184,688396,华润微,集成电路制造
185,601877,正泰电器,配电设备
186,603290,斯达半导,分立器件
187,688363,华熙生物,医美耗材
188,300919,中伟股份,电池化学品
189,600958,东方证券,证券
190,603833,欧派家居,定制家居
191,688008,澜起科技,数字芯片设计
192,300142,沃森生物,疫苗
193,002074,国轩高科,锂电池
194,000876,新希望,生猪养殖
195,601916,浙商银行,股份制银行
196,300979,华利集团,纺织鞋类制造
197,300628,亿联网络,通信终端及配件
198,600085,同仁堂,中药
199,601100,恒立液压,工程机械器件
200,600460,士兰微,分立器件
201,600795,国电电力,火力发电
202,601788,光大证券,证券
203,600741,华域汽车,车身附件及饰件
204,600570,恒生电子,垂直应用软件
205,300661,圣邦股份,模拟芯片设计
206,601618,中国中冶,其他专业工程
207,002821,凯莱英,医疗研发外包
208,605499,东鹏饮料,软饮料
209,688126,沪硅产业,半导体材料
210,002001,新和成,原料药
211,000100,TCL科技,面板
212,601808,中海油服,油田服务
213,002202,金风科技,风电整机
214,300496,中科创达,IT服务
215,600132,重庆啤酒,啤酒
216,688036,传音控股,品牌消费电子
217,603185,上机数控,光伏加工设备
218,300413,芒果超媒,视频媒体
219,603369,今世缘,白酒
220,601825,沪农商行,农商行
221,600362,江西铜业,铜
222,688005,容百科技,电池化学品
223,600176,中国巨石,玻纤制造
224,600426,华鲁恒升,氮肥
225,300782,卓胜微,模拟芯片设计
226,601117,中国化学,化学工程
227,002410,广联达,垂直应用软件
